Date,Close,High,Low,Open,Volume
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
2020-01-01,1841.14990234375,1854.994884100792,1829.5980397567605,1841.4895776196179,1354908
2020-01-02,1832.6976318359375,1851.6391879395187,1825.5202832378156,1851.6391879395187,2380752
2020-01-03,1869.2218017578125,1888.2058708575746,1838.091545000356,1838.091545000356,4655761
2020-01-06,1869.052490234375,1890.7120778453518,1858.39253407301,1872.9172816550415,3023209
2020-01-07,1873.6392822265625,1881.1137972699646,1854.9100686216645,1869.0949330238905,2429317
2020-01-08,1915.59912109375,1919.6337495496618,1870.4113238619245,1872.916999007524,5197454
2020-01-09,1880.8582763671875,1912.7954103144843,1877.1633244314376,1910.0773872466946,3734173
2020-01-10,1880.1790771484375,1897.5491701998333,1875.464891585153,1892.4527982118302,1915807
2020-01-13,1860.4732666015625,1884.7658502170664,1855.6740582476968,1883.8316397156548,2843893
2020-01-14,1874.53076171875,1893.9820422173525,1864.423038671992,1864.423038671992,2948452
2020-01-15,1891.5186767578125,1895.0012811106913,1863.7434865458179,1879.7121627512147,2620681
2020-01-16,1901.627197265625,1910.290992216573,1881.411537465411,1891.5617749403157,3117214
2020-01-17,1884.8936767578125,1914.1553108756536,1879.7122811497393,1903.2830067719287,3281059
2020-01-20,1843.485595703125,1904.5145376017022,1831.4665250245262,1864.338089209866,5817599
2020-01-21,1844.080078125,1857.2457079207597,1833.0379370059754,1843.1456601584598,1902980
2020-01-22,1874.53076171875,1877.1639705991354,1846.3308738610604,1852.531502206658,1773686
2020-01-23,1865.208740234375,1888.0242706786876,1859.0366396989582,1881.2562847635886,2069866
2020-01-24,1858.78125,1865.2087895374152,1847.3735883977176,1865.2087895374152,1319430
2020-01-27,1846.7352294921875,1867.3372358912159,1843.1171012334153,1864.1447697805345,1549101
2020-01-28,1859.0791015625,1862.5270059181612,1832.0495599599315,1850.7786911491128,1743024
2020-01-29,1834.262939453125,1861.8031486385769,1830.3467655617828,1860.1431082569748,2306761
2020-01-30,1820.00390625,1843.1172799959436,1809.064304845903,1838.8606581021884,2098567
2020-01-31,1769.945556640625,1825.5370664923971,1763.6032331447177,1821.3228455779938,3287223
2020-02-03,1789.908935546875,1868.4009766691222,1781.9915797806525,1832.0494788570156,4728073
2020-02-04,1794.3787841796875,1819.0245809705073,1776.3733584635934,1812.469425462486,3509339
2020-02-05,1827.4100341796875,1836.0508918196194,1791.441586117532,1800.550713643998,2439322
2020-02-06,1811.916259765625,1850.9493564278314,1800.9766587532843,1826.0907270270834,2640065
2020-02-07,1818.896728515625,1831.1983214168304,1803.955947504539,1820.982431199721,2083442
2020-02-10,1840.5205078125,1844.8197370470068,1803.95617111334,1822.6000899334376,2383032
2020-02-11,1833.2413330078125,1851.4597944393743,1828.30381923486,1841.4141279471985,1335820
2020-02-12,1848.01220703125,1860.1435781933808,1830.3472279706034,1831.2837678290286,1620407
2020-02-13,1866.0601806640625,1870.35940976988,1848.2249788850293,1849.8850196328256,1645948
2020-02-14,1859.4620361328125,1883.1288874074874,1848.2245997114173,1862.6971092439342,1500115
2020-02-17,1875.6802978515625,1887.3860071879787,1864.5704739673392,1870.3169130961255,1774724
2020-02-18,1886.322021484375,1890.7914745421626,1861.03772861175,1872.8710545228403,2486223
2020-02-19,1869.806396484375,1898.4533789078785,1864.8260656940392,1886.3220064193415,1760463
2020-02-20,1836.1361083984375,1885.1722584745487,1831.4112174368338,1876.744231883556,2317278
2020-02-24,1800.8487548828125,1854.9928500570545,1793.484675743761,1835.455000961397,3092877
2020-02-25,1835.583251953125,1853.035404340181,1797.1460336134262,1800.9769938935117,2674567
2020-02-26,1807.872314453125,1842.1805164789253,1798.8055862140268,1833.7524892892445,2686842
2020-02-27,1792.46337890625,1804.7649739205312,1776.0327777495097,1804.7649739205312,2349001
2020-02-28,1702.7764892578125,1761.815814566888,1694.1355259667105,1760.5388279895265,4298076
2020-03-02,1703.7552490234375,1748.5773872786488,1690.47450769598,1732.4448344429431,2667076
2020-03-03,1733.4664306640625,1753.7279897845094,1712.8644249739966,1719.675019109082,2757585
2020-03-04,1773.478515625,1783.0559127872634,1723.9314892074535,1750.322539165691,3237002
2020-03-05,1809.106201171875,1828.431215401062,1774.201915369783,1775.6065169051924,3937056
2020-03-06,1801.7850341796875,1807.9145267581093,1763.603269094782,1786.0781444966012,2595027
2020-03-09,1679.109619140625,1770.6694938039764,1647.3126743502442,1766.4980874815278,4940975
2020-03-11,1663.23193359375,1691.8365078837899,1634.542351595249,1645.6095654341752,6796449
2020-03-12,1506.7164306640625,1624.6674648863457,1496.9262003102722,1620.9216168362611,8728786
2020-03-13,1537.7470703125,1549.410171241741,1282.1369582711084,1436.9502559705115,8029720
2020-03-16,1444.1865234375,1568.3521483806219,1426.6917679868736,1494.0741052560682,7844271
2020-03-17,1411.4954833984375,1473.642148228405,1381.8268566577278,1472.790824052652,5713248
2020-03-18,1408.430908203125,1458.7867600988843,1385.743095379605,1427.5005928402754,7258778
2020-03-19,1403.242919921875,1445.3483338842107,1326.406953752035,1337.512113141157,5135111
2020-03-20,1541.3934326171875,1602.750787961189,1395.2250037521962,1397.7976374407374,8547498
2020-03-23,1431.8416748046875,1500.7025239172867,1387.292290324109,1389.221764997717,7003490
2020-03-24,1460.5264892578125,1517.8533006073233,1400.2410874800578,1417.5635438886252,6350865
2020-03-25,1500.9600830078125,1552.1554444696912,1440.6746666901001,1457.825555579268,2765520
2020-03-26,1535.819091796875,1571.0642501631833,1477.163138944683,1570.6782923771457,4556067
2020-03-27,1564.5897216796875,1586.4571033748543,1501.0457040428153,1560.7307719687758,4331250
2020-03-30,1525.142822265625,1633.6221964666943,1512.322574459605,1514.4235165145312,8513547
2020-03-31,1565.961669921875,1590.744721834302,1526.4288975013787,1575.651962660317,3927593
2020-04-01,1465.3287353515625,1573.379310716184,1459.5403116713148,1565.7900650493316,4941878
2020-04-03,1418.550048828125,1492.127407700835,1414.94840385424,1492.127407700835,5735369
2020-04-07,1522.3126220703125,1531.4454899369334,1462.1130531895685,1466.4007747531741,5427577
2020-04-08,1462.4989013671875,1548.7250235952267,1458.6828710606205,1509.2779853419709,6285615
2020-04-09,1514.5518798828125,1525.3998361674085,1484.5806439179864,1501.0883716221585,5307397
2020-04-13,1508.635009765625,1532.4318672452305,1497.2725462843719,1510.135712489564,2990438
2020-04-15,1487.9678955078125,1553.8701488193374,1481.6649663369851,1530.7164545488506,4761399
2020-04-16,1471.589111328125,1513.4801343842425,1436.429790884263,1466.3580067370287,6245533
2020-04-17,1548.8966064453125,1588.129261555782,1503.2752876208317,1543.5798731988004,9895823
2020-04-20,1559.5731201171875,1569.306227972019,1545.7237573330954,1569.306227972019,3244282
2020-04-21,1490.1119384765625,1538.9490466079792,1481.5793095129716,1513.5657551629176,5122541
2020-04-22,1517.4249267578125,1535.0045882432803,1474.2475839967224,1490.1121565567787,3829836
2020-04-23,1610.6826171875,1629.334206126048,1510.0068931991498,1526.4288878444029,5934366
2020-04-24,1559.4874267578125,1588.1293262719785,1550.268824361662,1578.481951671356,2987102
2020-04-27,1574.966064453125,1607.8957911928987,1565.0185700944214,1571.2786862470853,3374741
2020-04-28,1594.2177734375,1601.8927530533501,1571.5356638848284,1599.320120152301,2678505
2020-04-29,1634.1796875,1640.0967654504395,1586.5002345238574,1607.038383302634,4241510
2020-04-30,1727.47998046875,1742.5299239976018,1665.5224081218864,1697.9376227929388,5915544
2020-05-04,1655.4464111328125,1685.9321539578934,1641.0397291871698,1685.9321539578934,3729348
2020-05-05,1657.4190673828125,1695.3654100198269,1652.4881867011666,1676.5851652701094,2905528
2020-05-06,1632.4217529296875,1675.3847131191344,1623.846307595238,1663.4649278488328,3517431
2020-05-07,1622.1739501953125,1658.8767891775371,1615.0562895178284,1637.909869629695,3166754
2020-05-08,1623.6746826171875,1663.2074608272865,1617.543218863351,1662.864422111132,2686530
2020-05-11,1659.605712890625,1673.4121567420582,1637.0522533839771,1637.0522533839771,2449841
2020-05-12,1671.7828369140625,1677.7856478186013,1638.1242186278982,1657.976392769766,3256595
2020-05-13,1671.9114990234375,1709.9435731059755,1651.3304329479392,1709.9435731059755,2656665
2020-05-14,1631.349365234375,1649.1434093182913,1621.701991935866,1637.909600013501,2263146
2020-05-15,1623.2454833984375,1644.2553168974741,1599.4914455727446,1643.054734047105,3173682
2020-05-18,1668.4384765625,1674.7414073927082,1605.408958898977,1635.3372814195693,3727694
2020-05-19,1671.053955078125,1686.3181829466914,1631.907031366429,1631.907031366429,3198693
2020-05-20,1675.2987060546875,1683.2739107858047,1656.5184629025853,1672.2115671745078,2778505
