Date,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
01-01-2014,800.3019409,811.8978082,799.4843005,810.2625273,529952
02-01-2014,805.3936768,813.5702623,801.3610971,805.0220138,1726948
03-01-2014,825.9093018,828.4738303,798.0531848,804.5386844,2618174
06-01-2014,832.3763428,834.0116234,816.5434655,828.4366794,2311810
07-01-2014,819.9441528,838.6388167,817.2867991,832.5249796,2897486
08-01-2014,829.793396,834.0118075,821.375265,822.118591,2550020
09-01-2014,833.2498779,838.2859299,825.8724215,828.3439443,2582206
10-01-2014,847.7261353,858.4672508,830.6668391,839.9584145,3369334
13-01-2014,880.3766479,886.0445082,849.2498746,849.2498746,3814316
14-01-2014,864.7667236,886.3417749,862.2579989,881.5844712,2974964
15-01-2014,874.74646,883.8893194,864.8601835,870.6023612,3048854
16-01-2014,873.5194092,884.5949827,864.1163188,884.5577801,2997962
17-01-2014,822.5087891,854.0815416,819.9071482,854.0815416,7564756
20-01-2014,869.0221558,873.407796,823.4191371,824.7013559,6010558
21-01-2014,847.5032349,869.4127526,845.5706052,867.4615216,3132282
22-01-2014,845.1802979,853.6542327,841.482269,850.0305183,2384030
23-01-2014,837.1522827,846.1651102,831.5216247,842.9688629,2290762
24-01-2014,835.7583618,848.5993334,830.6665981,834.0115643,1850266
27-01-2014,830.1366577,841.2691496,826.5995668,828.7962501,2532948
28-01-2014,823.7139893,836.9315386,817.6637026,831.0301457,2852166
29-01-2014,822.7643433,834.0085475,820.9771639,834.0085475,1698076
30-01-2014,825.6685791,829.1684004,815.392365,818.3896017,2225250
31-01-2014,834.3994751,845.1038255,826.9343361,828.4609059,2174246
03-02-2014,817.0492554,835.5910739,815.6903044,827.3068358,1362480
04-02-2014,801.001709,809.807162,786.3693131,809.4348369,2694166
05-02-2014,817.0305176,819.1155754,796.7760597,805.6374191,1853650
06-02-2014,809.9006958,815.3552257,798.6378543,811.6692412,1922652
07-02-2014,798.4143677,817.2540649,793.4252448,815.3924384,1990912
10-02-2014,779.4813843,798.2651711,776.3352547,798.2651711,4019270
11-02-2014,782.5158081,791.7494907,780.3935728,781.8828735,3568786
12-02-2014,783.9123535,790.6701128,780.021572,788.5850546,3074348
13-02-2014,794.4491577,796.1804341,780.5800394,784.4894553,2094350
14-02-2014,807.1638794,813.4375963,792.345407,795.9941218,1910062
17-02-2014,806.2329712,813.9029069,799.4566706,804.2224514,1670394
18-02-2014,806.4564209,815.7645513,802.6773563,806.0840957,1526916
19-02-2014,818.352356,824.7005204,805.0603612,807.9458822,1072918
20-02-2014,815.1503906,827.3067747,812.7116419,821.3495702,1587924
21-02-2014,821.2377319,823.9557243,815.671488,818.3708459,1717860
24-02-2014,810.887085,821.0702164,807.9830209,820.6048099,2450424
25-02-2014,814.982666,818.9293498,811.6690078,815.0199349,3305374
26-02-2014,812.4696655,817.2540823,810.6080389,816.881757,3859712
28-02-2014,847.3192749,848.9016574,804.2784352,804.5949481,3988192
03-03-2014,834.0272217,855.9757777,829.5406841,845.8485488,1606078
04-03-2014,834.2503052,839.2208823,828.0511278,831.476501,2030332
05-03-2014,838.4390259,851.228432,834.95784,839.5374579,2302006
